springAngle[degree], load[N]
2, 2.37167
2, 1.90062
2, 1.57171
2, 1.88376
3, 11.2264
4, 13.8972
5, 15.7208
6, 17.1545
7, 18.3293
8, 18.7264
9, 18.99
10, 19.2131
11, 19.3943
12, 19.5703
13, 19.7471
14, 19.937
15, 20.0761
16, 20.199
17, 20.3857
18, 20.5571
18, 20.6933
20, 20.7933
21, 20.9637
22, 21.1113
22, 21.2263
24, 21.3614
24, 21.4692
26, 21.61
27, 21.7185
28, 21.8661
29, 21.977
30, 22.0978
31, 22.2141
31, 22.327
33, 22.4199
34, 22.5657
35, 22.6959
36, 22.8054
36, 22.8995
38, 23.0265
39, 23.1388
40, 23.1949
40, 23.3834
41, 23.5207
43, 23.6303
43, 23.76
44, 23.9262
45, 24.0012
46, 24.176
48, 24.3165
49, 24.4529
50, 24.6426
51, 24.7314
52, 24.95
52, 25.0994
54, 25.267
55, 25.4231
56, 25.6381
57, 25.8218
58, 26.0761
59, 26.2586
60, 26.4541
61, 26.7001
62, 26.9568
63, 27.2104
64, 27.4616
65, 27.7278
66, 28.014
67, 28.2701
68, 28.5956
68, 28.885
69, 29.2061
71, 29.4761
71, 29.8202
72, 30.1239
74, 30.4812
74, 30.7605
75, 31.076
76, 31.3498
77, 31.66
79, 31.964
79, 32.2917
80, 32.5233
81, 32.8224
82, 33.0532
83, 33.3324
85, 33.5549
86, 33.7876
86, 33.9967
88, 34.2075
88, 34.4186
89, 34.583
91, 34.7565
91, 34.962
92, 35.1018
93, 35.3304
94, 35.4609
95, 35.6369
96, 35.7282
97, 35.9347
99, 36.035
99, 36.2387
101, 36.3502
101, 36.4948
103, 36.629
103, 36.7803
105, 36.8716
105, 37.0251
107, 37.0826
108, 37.2299
108, 37.3865
110, 37.4571
110, 37.6229
111, 37.7042
113, 37.8273
114, 37.8975
114, 38.0518
116, 38.1406
116, 38.4258
118, 38.4096
119, 38.5195
119, 38.6694
121, 38.7731
121, 38.917
122, 39.0431
123, 39.16
124, 39.3255
126, 39.3909
126, 39.7237
127, 39.8282
128, 39.8963
130, 40.0518
131, 40.2296
131, 40.489
133, 40.5525
133, 40.7871
134, 40.9688
135, 41.0595
136, 41.4504
137, 41.544
138, 41.7304
139, 41.9796
