springAngle[degree], load[N]
2, 1.55957
2, 1.50781
2, 1.29471
2, 1.3229
4, 2.32257
4, 1.90486
6, 2.48486
6, 2.14052
8, 2.64695
8, 2.11324
9, 2.69367
10, 2.74119
11, 2.64552
12, 2.95776
13, 2.8789
14, 3.04581
15, 3.12162
16, 2.98286
17, 3.49143
18, 3.25119
19, 3.70062
20, 3.57924
22, 3.79438
22, 4.20224
23, 3.83586
24, 4.06548
26, 4.03005
26, 4.04167
28, 4.51181
28, 4.61952
28, 4.68643
30, 4.44029
32, 4.67233
32, 5.10262
35, 5.19048
34, 5.46076
36, 5.18205
36, 4.81995
36, 5.31848
39, 5.18881
39, 5.94062
41, 5.70367
41, 5.85767
43, 5.91595
42, 5.50386
44, 5.99352
47, 6.33748
47, 6.28814
47, 6.61514
48, 6.33371
49, 6.85457
50, 6.60514
51, 6.8551
52, 6.97552
53, 6.95752
54, 7.35462
55, 7.24529
55, 8.50967
57, 8.96243
58, 8.65795
59, 7.85333
60, 8.22362
61, 8.75257
62, 8.79343
63, 9.26633
63, 9.39071
64, 9.16252
66, 9.70048
66, 10.0158
68, 10.2658
68, 10.6321
70, 10.2947
71, 11.2453
72, 11.1663
73, 11.9692
74, 11.8973
75, 11.8088
76, 12.5908
77, 12.5651
78, 13.2526
79, 13.1806
80, 13.8482
81, 13.882
82, 14.0011
83, 14.4752
83, 14.6269
84, 14.825
85, 14.903
86, 15.1335
88, 15.4207
89, 15.7499
90, 16.1139
91, 16.0543
92, 16.2156
93, 16.4752
94, 16.5626
95, 16.8796
96, 16.8408
97, 16.9989
98, 17.2874
99, 17.3759
100, 17.6106
101, 17.6405
102, 17.7713
103, 17.92
104, 18.1057
105, 18.2265
106, 18.2876
107, 18.4684
107, 18.5786
109, 18.6659
109, 18.8405
111, 18.9684
111, 19.0936
112, 19.1583
114, 19.2831
114, 19.4768
116, 19.4062
116, 19.7601
118, 19.848
119, 19.9464
120, 20.0089
120, 20.1131
122, 20.35
122, 20.404
123, 20.421
125, 20.7027
126, 20.8477
126, 21.083
127, 21.0156
128, 21.1064
129, 21.2945
131, 21.5092
131, 21.7486
132, 21.8671
133, 21.9294
135, 22.1933
136, 22.3304
137, 22.7059
137, 22.741
138, 22.9438
139, 23.235
140, 23.4239
141, 23.598
142, 23.9341
144, 24.0891
145, 24.6146
146, 24.8243
147, 25.195
148, 25.3719
149, 25.876
150, 26.1659
151, 26.4663
152, 26.7669
153, 27.0564
154, 27.509
155, 27.8012
156, 28.1705
157, 28.4398
158, 28.6642
158, 28.8135
159, 29.182
161, 29.5161
161, 29.946
163, 30.1308
163, 30.5116
165, 30.599
165, 30.9743
167, 31.2486
168, 31.4286
169, 31.7001
170, 31.8188
171, 32.2036
172, 32.3019
173, 32.58
174, 32.6797
175, 32.8237
176, 33.0876
177, 33.0879
178, 33.4256
179, 33.4167
180, 33.5769
181, 33.7434
182, 33.8419
182, 34.0672
183, 33.9994
184, 34.1102
185, 34.2929
186, 34.4102
187, 34.5118
188, 34.6407
189, 34.8295
190, 34.8953
192, 34.9728
192, 35.0658
193, 35.2105
194, 35.4414
195, 35.5618
196, 35.631
197, 35.7572
198, 35.8324
199, 36.1001
200, 36.0977
201, 36.3473
202, 36.3224
203, 36.5932
205, 36.6232
206, 36.7727
206, 37.11
208, 37.2446
208, 37.4217
210, 37.3885
210, 37.8374
212, 37.929
212, 38.2439
213, 38.4192
215, 38.4215
215, 38.9773
217, 38.8259
217, 39.3451
218, 39.401
219, 39.541
220, 39.9021
222, 40.206
223, 40.3274
224, 40.8072
224, 41.5869
226, 41.2701
226, 41.7924
228, 41.8494
229, 42.9251
229, 43.1404
231, 42.8965
231, 44.2848
232, 43.5335
233, 43.9349
234, 44.1934
235, 45.2464
236, 44.741
237, 44.8944
239, 45.0496
240, 46.1783
240, 46.868
241, 46.0045
242, 46.0738
243, 47.312
244, 46.4868
245, 47.0041
246, 47.0161
247, 47.1827
248, 47.3474
249, 47.662
250, 48.475
251, 48.0319
252, 48.5844
253, 48.3243
254, 48.4909
255, 48.7819
256, 48.5927
257, 49.2089
258, 48.9877
259, 48.9385
260, 49.3702
261, 49.1728
262, 49.8838
263, 49.9352
264, 49.6315
265, 50.654
266, 50.141
267, 50.5141
268, 50.6342
269, 50.2622
270, 51.1569
271, 50.9478
272, 50.6056
273, 50.9583
274, 51.2309
275, 50.8983
276, 51.1052
277, 51.6241
278, 51.4683
279, 51.0743
280, 51.7575
281, 51.9829
282, 51.9244
283, 52.5219
284, 52.3368
285, 52.3765
286, 52.867
287, 52.5406
288, 53.2218
289, 53.1975
290, 54.3381
291, 53.5274
292, 54.8028
293, 53.991
294, 54.7394
295, 54.3932
296, 55.1042
297, 55.7575
298, 56.0656
299, 56.3714
298, 54.4735
297, 54.3322
296, 54.0273
295, 53.9933
294, 54.1899
293, 54.0095
292, 54.3449
291, 53.9755
290, 54.0822
289, 54.3
288, 53.795
287, 53.7823
286, 53.2114
285, 53.6801
284, 53.9667
283, 53.3487
282, 53.143
281, 52.7764
280, 52.8871
279, 52.8092
278, 52.5554
278, 52.7805
277, 52.6681
275, 52.4515
274, 52.4162
273, 52.0266
272, 51.9455
271, 51.6495
270, 51.7147
269, 51.474
268, 51.5965
268, 51.8426
266, 51.353
265, 51.2418
264, 50.9887
263, 50.9765
262, 50.9128
261, 50.7808
260, 50.8075
259, 50.4869
258, 50.4666
257, 50.2765
256, 50.0752
256, 49.9766
255, 50.0605
254, 49.7866
253, 49.5754
251, 49.3551
251, 49.193
249, 49.0895
249, 48.8691
248, 48.7405
247, 48.4784
246, 48.2947
245, 48.1204
244, 47.8973
243, 47.7009
242, 47.5004
241, 47.2124
240, 47.0607
239, 46.7139
238, 46.5587
237, 46.2137
236, 45.8969
235, 45.768
234, 45.2558
233, 45.2008
232, 44.7532
231, 44.2384
230, 43.9963
229, 43.6168
228, 43.2503
227, 43.0649
226, 42.6746
225, 42.4122
224, 42.19
223, 41.694
222, 41.5189
221, 41.3206
220, 41.1066
219, 40.8472
218, 40.5776
216, 40.3881
216, 40.0171
215, 39.8648
213, 39.7357
213, 39.4621
211, 39.36
211, 38.9396
209, 39.057
209, 38.8182
207, 38.6923
206, 38.5947
205, 38.5415
204, 38.2902
204, 38.0729
203, 37.9704
202, 37.8449
201, 37.739
200, 37.5605
199, 37.561
198, 37.468
197, 37.1072
196, 37.0712
195, 36.8037
194, 36.8196
193, 36.647
191, 36.4926
191, 36.2288
190, 36.2289
189, 36.2533
188, 36.0001
186, 35.8354
185, 35.8259
184, 35.6212
184, 35.3116
182, 35.2663
181, 35.1787
181, 34.8451
179, 34.8829
179, 34.564
178, 34.5972
177, 34.3947
176, 34.2187
175, 34.0856
174, 33.8503
173, 33.6573
172, 33.4347
171, 33.3363
170, 33.1765
169, 32.9727
168, 32.6072
167, 32.6696
166, 32.3422
165, 32.0167
164, 31.8693
163, 31.5594
162, 31.4437
161, 31.035
160, 30.672
159, 30.5985
158, 30.0821
157, 30.024
155, 29.5364
155, 29.4219
154, 28.6359
153, 28.4327
152, 27.9363
151, 27.7766
150, 27.3977
149, 27.2799
148, 26.7725
147, 26.4236
146, 26.2122
145, 25.7128
144, 25.544
143, 25.2697
142, 24.7696
141, 24.77
140, 24.4686
139, 24.2667
138, 23.9923
137, 23.9878
136, 23.6479
135, 23.5221
134, 23.236
133, 22.9287
132, 22.946
131, 22.6115
130, 22.5878
129, 22.4485
128, 22.0927
127, 22.1255
126, 21.783
124, 21.7933
124, 21.3747
123, 21.4882
122, 21.416
121, 21.4974
120, 21.1258
119, 21.295
118, 20.6386
117, 20.7
116, 20.5131
116, 20.5689
114, 20.2874
113, 20.2888
112, 20.2809
111, 20.3149
110, 20.081
108, 20.0514
108, 19.9345
106, 19.5823
106, 19.253
104, 19.4397
104, 18.7817
103, 19.2055
101, 18.8244
101, 19.0227
101, 18.6156
100, 18.6289
98, 18.2137
97, 18.1238
96, 18.2033
95, 17.9427
94, 17.4087
93, 17.417
92, 17.2006
91, 16.77
89, 17.0321
89, 15.9897
88, 16.3632
87, 16.113
86, 15.2605
85, 15.0915
84, 15.5637
83, 14.4735
82, 14.3959
81, 14.09
80, 13.7355
79, 13.3681
78, 13.3556
77, 12.7175
76, 12.4029
75, 12.1136
74, 11.7448
72, 11.6846
72, 11.168
71, 11.3343
70, 10.5251
69, 10.3103
68, 10.0324
67, 9.73933
66, 9.4521
65, 9.163
64, 8.939
63, 8.63276
62, 8.35848
61, 8.078
60, 7.80876
59, 7.61962
58, 7.36124
57, 7.16971
56, 6.9829
55, 6.78695
54, 6.63962
53, 6.39367
52, 6.22481
51, 6.12233
51, 5.97452
49, 5.80586
48, 5.60743
47, 5.496
46, 5.37648
45, 5.27514
44, 5.17724
43, 5.07738
42, 5.20667
41, 4.87771
40, 4.78281
40, 4.8569
39, 4.78648
38, 4.78148
37, 4.67776
36, 4.55681
35, 4.51533
34, 4.40433
33, 4.36443
32, 4.25033
31, 4.15771
30, 4.10176
29, 3.99162
29, 4.01267
26, 3.81
26, 3.91233
26, 3.89914
24, 3.65262
23, 3.69552
23, 3.65557
22, 3.75933
21, 3.69624
21, 3.74305
19, 3.65614
18, 3.61757
17, 3.61462
16, 3.69838
16, 3.66962
15, 3.49338
13, 3.10495
12, 2.92229
11, 2.99467
11, 2.66157
9, 2.83114
9, 2.84405
8, 2.7521
6, 1.86524
4, 1.41205
1, 1.07786
