springAngle[degree], load[N]
0, 0.289286
0, 0.302667
0, 0.721762
1, 7.98805
2, 13.6332
3, 19.588
4, 19.6496
6, 21.276
7, 21.1637
7, 21.7435
9, 22.1134
10, 22.3067
11, 22.6945
12, 23.0104
13, 23.2055
14, 23.4946
15, 23.6437
16, 23.94
17, 24.1751
17, 24.3405
19, 24.5437
20, 24.5229
21, 24.9488
22, 25.2586
23, 25.5009
24, 25.759
25, 25.8884
26, 26.1669
27, 26.3689
28, 26.5192
29, 26.7088
29, 26.7806
30, 26.98
32, 27.326
33, 27.44
34, 27.7317
35, 27.9515
36, 28.1467
36, 28.2528
38, 28.2988
39, 28.4787
40, 28.4153
40, 28.7729
42, 28.916
43, 28.9481
44, 29.0779
44, 29.1461
46, 29.2828
47, 29.3665
48, 29.6687
48, 29.995
50, 29.965
51, 30.1589
52, 30.169
52, 30.176
54, 30.2748
55, 30.2363
56, 30.3489
56, 30.5041
58, 30.6781
58, 30.8843
60, 30.8403
60, 30.4632
62, 32.1731
62, 31.9501
63, 31.9158
64, 32.4577
65, 32.4182
66, 32.2235
68, 31.9723
69, 31.955
69, 32.1606
71, 32.6537
72, 32.3721
73, 32.6543
74, 32.6281
74, 32.9536
76, 33.0715
77, 33.3087
78, 33.423
78, 33.6398
80, 34.0609
80, 34.1093
82, 34.5258
82, 34.5332
84, 34.7545
85, 34.913
86, 35.4426
87, 35.6973
88, 35.6484
88, 35.9625
89, 36.1516
90, 35.925
92, 40.9873
93, 44.4196
93, 41.1284
94, 37.8454
95, 48.2466
96, 50.3384
97, 43.5224
98, 37.8658
100, 37.9498
100, 38.0605
101, 37.9005
102, 38.2925
103, 38.4448
104, 38.0132
106, 38.6015
106, 38.7453
107, 38.8558
108, 39.3056
110, 39.6796
110, 39.5865
112, 39.4474
112, 40.2034
113, 39.9674
114, 42.0426
115, 45.2785
116, 40.8432
117, 41.3894
118, 41.4884
119, 41.6678
120, 41.7581
121, 41.903
122, 41.96
123, 42.0067
124, 42.1277
125, 42.2134
126, 42.3237
127, 42.3487
128, 42.3824
129, 42.5393
130, 42.6463
131, 42.7597
132, 42.7733
133, 42.8173
134, 42.983
135, 43.1527
136, 43.2166
138, 43.2309
138, 43.3892
139, 43.5145
140, 43.5745
141, 43.6547
142, 43.8032
143, 43.7869
145, 43.7826
145, 43.9053
147, 44.01
147, 44.0171
148, 44.0842
149, 44.0596
150, 44.0595
151, 44.093
152, 44.1244
153, 44.1057
154, 44.1118
155, 44.1394
156, 44.2334
157, 44.387
158, 44.5976
159, 44.7087
160, 44.9086
161, 45.1063
162, 45.2838
163, 45.5173
164, 45.6766
165, 45.8962
166, 46.1187
167, 46.2925
168, 46.5341
169, 46.7115
170, 46.9934
171, 47.2513
172, 47.4581
173, 47.7244
174, 47.9268
175, 48.209
176, 48.4843
177, 48.6949
178, 48.9686
179, 49.158
180, 49.4192
181, 49.5876
182, 49.8421
183, 50.0762
184, 50.2471
185, 50.4783
186, 50.6296
187, 50.8536
188, 51.0568
189, 51.2081
190, 51.3071
191, 51.3771
192, 51.6792
193, 51.9592
194, 52.1532
195, 52.2403
196, 52.3938
197, 52.7436
198, 52.9747
199, 53.1169
200, 53.2869
201, 53.3988
202, 53.5411
203, 53.5613
204, 53.5807
205, 53.6748
206, 53.7593
207, 53.9162
208, 53.9378
209, 54.0209
210, 54.1801
211, 54.2946
212, 54.4064
213, 54.5053
214, 54.5934
215, 54.7344
216, 54.8089
217, 54.9513
218, 55.0913
219, 55.1714
220, 55.3476
221, 55.4116
222, 55.4698
223, 55.536
224, 55.7619
225, 55.841
226, 55.9211
227, 56.1367
228, 56.2637
229, 56.3792
230, 56.4881
231, 56.6404
232, 56.8277
233, 56.962
234, 57.1448
235, 57.2711
236, 57.4592
237, 57.648
238, 57.7868
239, 57.9944
240, 58.1424
241, 58.3796
242, 58.611
243, 58.7929
244, 59.0523
245, 59.2349
246, 59.5107
247, 59.778
248, 59.9863
249, 60.2827
250, 60.4776
251, 60.7764
252, 61.0649
253, 61.2745
254, 61.5522
255, 61.7424
256, 62.0086
257, 62.2671
258, 62.4474
259, 62.7003
260, 62.8657
261, 63.0935
262, 63.3043
263, 63.46
264, 63.66
265, 63.8063
266, 64.0136
267, 64.1471
268, 64.405
269, 64.9678
270, 65.1946
271, 65.5083
272, 65.653
273, 65.8813
274, 66.07
275, 66.1666
276, 66.3334
277, 66.3686
278, 66.5133
279, 66.6617
280, 66.771
281, 66.8663
282, 66.9665
283, 67.1419
284, 67.2509
285, 67.346
286, 67.4659
287, 67.5203
288, 67.7029
289, 67.7664
290, 67.87
290, 67.9551
292, 68.0528
293, 68.1622
294, 68.2521
295, 68.3803
295, 68.4579
297, 68.5466
298, 68.6491
299, 68.7532
298, 68.7768
297, 68.7176
296, 68.7075
295, 68.6843
294, 68.6283
293, 68.5363
291, 68.4587
291, 68.4125
290, 68.3867
289, 68.3526
288, 68.3183
287, 68.2608
286, 68.2336
285, 68.1838
284, 68.1605
283, 68.1284
282, 68.0784
281, 68.0455
280, 68.0123
279, 67.9747
278, 67.9435
277, 67.9132
276, 67.8792
275, 67.8516
274, 67.8219
273, 67.778
272, 67.7567
271, 67.7253
270, 67.6842
269, 67.6612
268, 67.6415
267, 67.617
266, 67.5765
265, 67.5365
264, 67.5087
263, 67.4762
262, 67.46
261, 67.4218
260, 67.3835
259, 67.3593
258, 67.3259
257, 67.3032
256, 67.2695
255, 67.2394
254, 67.2151
253, 67.183
252, 67.1598
251, 67.1267
250, 67.096
249, 67.0714
248, 67.0411
247, 67.0154
246, 66.9805
245, 66.9582
244, 66.9226
243, 66.8887
242, 66.8631
241, 66.826
240, 66.8012
239, 66.7666
238, 66.7342
237, 66.7046
236, 66.6647
235, 66.6391
234, 66.6061
233, 66.5678
232, 66.5432
231, 66.4995
230, 66.4645
229, 66.4237
228, 66.38
227, 66.3446
226, 66.297
225, 66.2726
224, 66.2293
223, 66.1857
222, 66.163
221, 66.1251
220, 66.103
219, 66.0631
218, 66.0122
217, 66.0102
216, 65.9004
215, 65.894
214, 65.8483
213, 65.8284
212, 65.787
211, 65.7623
210, 65.7413
209, 65.7234
208, 65.6871
207, 65.6468
206, 65.611
205, 65.5832
204, 65.5482
203, 65.4878
202, 65.38
201, 65.36
200, 65.3476
199, 65.2698
198, 65.2155
197, 65.3161
196, 65.3301
195, 65.2702
194, 65.1368
193, 65.0367
192, 64.8665
191, 64.7744
190, 64.757
189, 64.8786
188, 64.9071
187, 65.0937
186, 64.895
185, 64.6855
184, 64.676
183, 64.6
182, 64.5446
181, 64.5564
180, 64.5536
179, 64.5243
178, 64.5124
177, 64.4926
176, 64.4893
175, 64.4736
174, 64.4631
173, 64.4444
172, 64.4185
171, 64.413
170, 64.369
169, 64.3452
168, 64.4049
168, 64.3108
166, 64.2638
165, 64.2177
164, 64.1502
163, 64.094
162, 64.0393
161, 63.8876
160, 63.885
159, 63.8479
158, 63.6803
157, 63.608
156, 63.5415
155, 63.4518
154, 63.2569
153, 63.1511
152, 63.0646
151, 62.9056
150, 62.6569
149, 62.6218
148, 62.4374
147, 62.2634
146, 62.0455
146, 61.8889
145, 61.821
143, 61.6609
142, 61.4867
141, 61.3702
140, 61.2294
139, 61.1042
139, 60.9101
137, 60.8394
136, 60.7295
135, 60.555
134, 60.3837
134, 59.9723
133, 59.7817
132, 59.5739
130, 59.414
129, 59.278
129, 59.141
127, 59.0266
126, 58.9099
125, 58.7934
124, 58.745
123, 58.468
122, 58.3937
121, 58.3092
120, 58.0679
119, 58.0686
118, 57.9473
117, 57.8766
117, 57.6945
116, 57.6482
114, 57.6055
114, 57.4034
112, 57.3889
112, 57.2971
110, 57.1251
109, 57.0487
109, 57.0079
107, 57.0087
106, 56.8917
106, 56.8345
