springAngle[degree], load[N]
1, 4.21681
1, 4.21305
1, 4.2111
2, 9.20671
3, 18.2132
4, 21.2819
4, 23.4351
6, 23.7492
7, 24.1487
8, 24.3477
9, 24.7667
10, 24.8758
11, 25.1651
12, 25.443
13, 25.6621
13, 25.7306
14, 26.044
15, 26.174
17, 26.639
17, 26.7136
19, 26.8493
19, 27.252
21, 27.2393
21, 27.6313
23, 27.7237
23, 28.0289
25, 27.9874
25, 28.4864
27, 28.3561
27, 28.5365
29, 28.6199
29, 28.8813
31, 28.894
31, 29.1809
33, 29.2431
33, 29.4919
35, 29.4413
35, 29.8177
37, 29.7461
37, 29.9393
38, 29.9803
40, 30.1674
40, 30.5648
42, 30.4346
42, 30.9809
44, 30.735
44, 30.9177
46, 30.8867
46, 31.304
47, 31.1016
48, 31.4969
49, 31.6597
51, 31.7125
51, 31.9457
52, 31.9083
53, 32.1194
54, 32.2706
56, 32.8076
57, 32.751
57, 33.3239
58, 33.0741
59, 33.2411
60, 33.272
62, 33.6868
62, 34.1805
63, 33.984
64, 34.3555
65, 34.0346
66, 34.923
67, 34.8118
68, 35.3182
69, 35.207
70, 35.4962
71, 35.7086
72, 37.038
73, 37.2005
74, 36.416
75, 37.8511
76, 38.25
77, 38.7049
78, 38.7835
79, 39.0268
80, 39.3103
81, 39.3021
82, 39.7212
83, 40.1076
84, 40.4399
85, 40.5332
86, 40.7977
87, 41.1821
88, 41.2636
89, 41.7129
90, 41.9144
91, 41.9354
92, 42.5277
93, 42.6796
94, 43.1124
95, 43.3424
96, 43.3841
97, 42.2181
98, 43.7668
99, 44.2988
100, 42.7362
101, 44.4292
102, 44.8608
103, 44.9439
104, 43.5582
105, 43.5608
106, 45.1717
107, 43.9474
108, 45.614
109, 44.0907
110, 45.9521
111, 46.351
112, 46.5294
113, 46.5568
114, 46.8908
115, 46.9351
116, 45.1751
117, 45.1699
118, 47.0317
119, 45.5986
120, 47.4021
121, 45.8948
122, 47.6837
123, 45.7462
124, 47.9646
125, 45.956
126, 48.1124
127, 46.214
128, 46.9448
129, 48.5503
130, 48.7675
131, 47.273
132, 49.0044
133, 47.4053
134, 49.1812
135, 46.861
136, 49.3518
137, 49.7591
138, 48.2156
139, 49.8979
140, 50.1274
141, 48.3722
142, 50.415
143, 50.7461
144, 50.9895
145, 50.3924
146, 51.0941
147, 51.3991
148, 51.761
149, 51.932
150, 52.001
151, 52.4335
152, 52.5383
153, 52.928
154, 53.1104
155, 53.3959
156, 53.7335
157, 53.855
158, 54.336
159, 54.5875
160, 54.8783
161, 55.2918
162, 55.4877
163, 55.9997
164, 56.2919
165, 56.6475
166, 56.9894
167, 57.1516
168, 57.703
169, 57.9154
170, 58.2893
171, 58.6252
172, 58.734
173, 59.2043
174, 59.333
175, 59.7232
176, 59.9245
177, 59.9824
178, 60.5105
179, 60.5891
180, 60.9934
181, 61.1484
182, 61.339
183, 61.6107
184, 61.6463
185, 61.959
186, 62.0764
187, 62.1861
188, 60.2059
189, 62.4633
190, 62.8496
191, 62.7377
192, 63.1188
193, 63.1824
194, 63.2836
195, 63.563
196, 63.6578
197, 63.8345
198, 63.8607
199, 63.9685
200, 64.2161
201, 64.3282
202, 62.5727
203, 64.4169
204, 64.6432
205, 64.8776
206, 65.009
207, 65.2019
208, 65.2915
209, 65.386
210, 65.5665
211, 65.7015
212, 65.8842
213, 65.9741
214, 66.0486
215, 66.0809
216, 66.3972
217, 66.659
218, 66.8225
219, 66.9557
220, 67.2585
221, 67.1702
222, 67.6515
223, 67.6399
224, 67.9203
225, 68.0767
226, 68.2766
227, 68.666
228, 68.7679
229, 69.081
230, 69.386
231, 69.7217
232, 69.9756
233, 70.0351
234, 70.3393
235, 70.9054
236, 70.9965
237, 71.3719
238, 71.7966
239, 71.4146
239, 72.0546
241, 72.1786
242, 72.8541
243, 72.6821
243, 73.2854
244, 73.4828
246, 73.8445
246, 73.2289
247, 73.9958
249, 74.5199
249, 73.939
251, 74.929
251, 74.1478
253, 75.7131
253, 76.114
255, 75.9806
255, 75.522
257, 76.411
257, 75.3039
259, 76.7707
259, 75.5431
261, 77.0924
261, 76.2389
263, 73.3559
263, 75.9861
265, 77.4194
265, 76.5481
266, 78.4248
268, 78.3572
268, 77.8989
270, 78.5501
270, 78.3034
272, 76.039
272, 75.8301
274, 79.3058
274, 78.0786
