springAngle[degree], load[N]
1, 6.59619
1, 2.98933
1, 3.05829
1, 4.282
3, 13.8344
4, 14.5087
4, 14.6297
6, 15.696
7, 15.9872
8, 15.3804
9, 15.3797
10, 15.4053
11, 15.5234
12, 15.5965
13, 15.7459
14, 15.863
15, 16.0274
16, 16.2102
16, 16.3254
18, 16.5187
19, 16.6499
19, 16.8846
21, 17.0617
22, 17.2142
23, 17.378
24, 17.5057
25, 17.6702
25, 17.8308
27, 17.9245
27, 18.0607
28, 18.1561
30, 18.3068
30, 18.483
32, 18.5782
32, 18.7414
34, 18.8105
34, 18.97
36, 19.0388
36, 19.1942
38, 19.2958
39, 19.413
40, 19.5596
41, 19.6431
42, 19.7832
43, 19.8702
44, 19.9512
45, 20.0888
46, 20.196
47, 20.2938
47, 20.4036
49, 20.476
49, 20.6198
51, 20.6848
52, 20.7998
53, 20.9245
54, 21.001
55, 21.1027
56, 21.1751
57, 21.2676
58, 21.351
58, 21.4433
60, 21.515
61, 21.5827
61, 21.6847
63, 21.7412
63, 21.8453
65, 21.8817
65, 21.9658
67, 22.0315
67, 22.1215
68, 22.1778
69, 22.2594
70, 22.3596
71, 22.4847
73, 22.533
73, 22.67
75, 22.7388
76, 22.8365
76, 22.9953
78, 23.0725
79, 23.2945
79, 23.4261
80, 23.5536
82, 23.6897
82, 23.8595
83, 24.0305
84, 24.2436
85, 24.3586
87, 24.5458
88, 24.6939
88, 24.9528
89, 25.0724
90, 25.2776
91, 25.5107
92, 25.597
93, 25.7827
94, 25.9703
95, 26.2396
96, 26.3819
97, 26.6774
98, 26.8757
100, 27.1279
100, 27.2417
101, 27.3975
102, 27.5751
103, 27.7034
104, 27.8279
105, 28.046
106, 28.0924
107, 28.2143
108, 28.4057
109, 28.5112
111, 28.7477
111, 29.0047
112, 28.9827
113, 29.0819
114, 29.1031
115, 29.2625
116, 29.3262
117, 29.4778
118, 29.6123
119, 29.5888
121, 29.7594
121, 30.0032
122, 29.9989
123, 30.0338
125, 30.1208
125, 30.3187
126, 30.4172
127, 30.3981
128, 30.6723
129, 30.7039
130, 30.8886
131, 30.8355
132, 31.0267
133, 31.0315
134, 31.2118
136, 31.3108
136, 31.4666
137, 31.6035
138, 31.781
139, 31.708
140, 31.9
141, 31.9736
142, 32.1155
143, 32.0159
144, 32.3148
145, 32.2255
146, 32.5456
147, 32.5215
148, 32.758
149, 32.7842
150, 33.1336
151, 33.0499
152, 33.0362
153, 33.165
154, 33.4714
155, 33.6635
156, 33.9743
157, 34.2804
158, 34.2796
159, 34.3656
160, 34.6768
161, 34.8099
162, 34.8527
163, 35.1069
164, 35.194
165, 35.3013
166, 35.6216
167, 35.8005
168, 35.9208
169, 35.9784
170, 36.139
171, 36.3734
172, 36.4341
173, 36.6482
174, 36.7324
175, 36.9261
176, 37.232
177, 37.3795
178, 37.6091
179, 37.718
180, 37.8913
181, 38.0661
182, 38.2114
183, 38.4657
184, 38.5563
185, 38.7686
186, 38.9973
187, 39.1072
188, 39.3278
189, 39.4363
190, 39.6378
191, 39.7092
192, 39.8075
193, 40.0544
194, 40.1039
195, 40.296
196, 40.4392
197, 40.5208
198, 40.7044
199, 40.7471
200, 40.9707
201, 41.0804
202, 41.217
203, 41.3395
204, 41.2382
205, 41.5043
206, 41.6713
207, 41.7756
208, 41.9467
209, 41.9363
210, 41.9136
211, 42.2714
212, 42.4958
213, 42.6879
214, 42.7687
215, 42.9857
216, 42.7459
217, 43.1686
218, 43.4342
219, 43.5109
220, 43.6882
221, 43.671
222, 43.9598
223, 44.0398
224, 44.1988
225, 44.2795
226, 44.3155
227, 44.4823
228, 44.4755
229, 44.5548
230, 44.6439
231, 44.5989
232, 44.7425
233, 44.6782
234, 44.7748
235, 44.8511
236, 44.8649
237, 44.9333
238, 44.8991
239, 45.0109
240, 44.9614
241, 45.0185
242, 44.9598
243, 44.3722
243, 44.6457
172, 30.6698
245, 40.0139
247, 47.2576
248, 48.0792
249, 48.3751
250, 48.7119
251, 48.8751
252, 49.1673
253, 49.1567
254, 49.5276
255, 49.7732
256, 49.8592
257, 50.0911
258, 50.1906
259, 50.4817
260, 50.664
261, 50.765
262, 51.0077
263, 51.1308
264, 51.3706
265, 51.5599
266, 51.6622
267, 51.9114
268, 52.0037
269, 52.2669
270, 52.4377
271, 52.5422
272, 52.685
273, 52.7509
274, 52.9371
275, 53.0953
276, 53.2159
277, 53.3728
278, 53.4233
279, 53.5917
280, 53.6392
281, 53.8104
282, 53.9377
283, 53.9829
284, 54.1328
285, 54.1834
286, 54.3225
287, 54.4991
288, 54.5806
289, 54.7173
290, 54.7618
291, 54.9144
292, 55.0238
293, 55.0944
294, 55.2237
295, 55.2846
296, 55.4061
297, 55.5535
298, 55.6308
299, 55.7443
298, 55.5057
297, 55.0033
296, 55.113
295, 54.7288
294, 54.4804
293, 54.5955
292, 54.5144
291, 54.3247
290, 54.1342
289, 54.2306
288, 54.283
287, 54.0683
286, 53.9465
285, 54.0192
284, 53.8458
283, 53.7546
282, 53.9089
281, 53.7658
280, 53.6205
