springAngle[degree], load[N]
1, 3.24838
1, 3.25286
1, 3.32271
2, 9.71571
3, 18.0847
4, 20.7306
5, 22.9261
6, 25.4788
7, 26.7254
8, 28.3855
8, 29.5128
10, 30.1727
11, 30.7809
11, 31.134
13, 31.5815
14, 31.9335
14, 32.1114
16, 32.3337
16, 32.5097
18, 32.7322
19, 32.9182
19, 33.054
20, 33.1882
21, 33.3352
23, 33.4602
23, 33.5825
25, 33.7049
25, 33.8648
27, 33.9613
28, 34.1219
29, 34.2206
30, 34.3789
30, 34.5304
32, 34.6556
33, 34.833
34, 34.9842
35, 35.1644
35, 35.3485
37, 35.5062
38, 35.7406
38, 35.9113
40, 36.1318
40, 36.34
41, 36.5539
43, 36.781
44, 37.0038
44, 37.2431
45, 37.5349
46, 37.7244
48, 38.0028
48, 38.253
50, 38.5749
51, 38.802
51, 39.1675
53, 39.4779
54, 39.7785
55, 40.0664
55, 40.3555
56, 40.6164
57, 40.9758
59, 41.237
59, 41.4514
60, 41.763
61, 42.1209
63, 42.372
63, 42.5942
65, 42.8618
65, 43.1025
66, 43.3256
67, 43.5651
69, 43.7342
70, 43.9412
70, 44.1554
71, 44.228
73, 44.6925
73, 44.8044
75, 45.5534
75, 45.778
76, 45.8985
77, 46.0595
79, 46.1739
80, 46.3715
80, 46.5182
81, 46.6062
83, 46.7681
83, 46.9288
84, 47.04
85, 47.2045
86, 47.2828
87, 47.3674
89, 47.523
89, 47.6811
90, 47.809
91, 47.9356
92, 48.0356
93, 48.1759
94, 48.3309
95, 48.4319
96, 48.5831
97, 48.6792
99, 48.8867
99, 49.0219
100, 49.1151
101, 49.2265
103, 49.3272
103, 49.5615
105, 49.7068
105, 49.8032
106, 49.978
107, 50.0904
109, 50.2907
109, 50.3993
111, 50.6116
111, 50.6927
112, 50.8493
113, 51.1485
114, 51.0766
115, 51.4079
116, 51.8013
117, 51.8666
118, 51.9897
119, 52.4738
120, 52.4828
121, 52.4982
122, 52.7804
123, 52.9182
124, 53.6548
125, 53.7545
126, 53.6425
127, 54.5087
128, 54.363
129, 54.9626
130, 55.3203
131, 55.1476
132, 55.8325
133, 55.9708
134, 56.2385
135, 56.7411
136, 57.0144
137, 57.1775
